FIRST_NAME,LAST_NAME,USER_ID,EMAIL,PASSWORD,MAJOR,TYPE
Belkis,Kianna,bkianna0,bkianna0@tech.edu,Password123,Nursing,Student
Yanina,Aadil,yaadil0,yaadil0@tech.edu,Password123,Computer Science,Student
Haylee,Danyella,hdanyella0,hdanyella0@tech.edu,Password123,Computer Science,Student
Tomas,Kawanna,tkawanna0,tkawanna0@tech.edu,Password123,Math,Student
Maloree,Ayelet,mayelet0,mayelet0@tech.edu,Password123,Math,Student
Rhandi,Connell,rconnell0,rconnell0@tech.edu,Password123,Engineering,Student
Rashia,Samaria,rsamaria0,rsamaria0@tech.edu,Password123,Nursing,Student
Hovsep,Freeman,hfreeman0,hfreeman0@tech.edu,Password123,Nursing,Student
Joram,Sherly,jsherly0,jsherly0@tech.edu,Password123,Engineering,Student
Marylou,Correen,mcorreen0,mcorreen0@tech.edu,Password123,Engineering,Student
Donecia,Jaritza,djaritza0,djaritza0@tech.edu,Password123,Nursing,Student
Patrick,Jamara,pjamara0,pjamara0@tech.edu,Password123,Computer Science,Student
Winfred,Kristy,wkristy0,wkristy0@tech.edu,Password123,Engineering,Student
Roni,Jermey,rjermey0,rjermey0@tech.edu,Password123,Engineering,Student
Eugenie,Malika,emalika0,emalika0@tech.edu,Password123,Engineering,Student
Karah,Jaquelyn,kjaquelyn0,kjaquelyn0@tech.edu,Password123,English,Student
Vianca,Atisha,vatisha0,vatisha0@tech.edu,Password123,Computer Science,Student
Darleen,Trong,dtrong0,dtrong0@tech.edu,Password123,Nursing,Student
Nana,Yanique,nyanique0,nyanique0@tech.edu,Password123,English,Student
Danta,Shem,dshem0,dshem0@tech.edu,Password123,Engineering,Student
Joeanthony,Vishal,jvishal0,jvishal0@tech.edu,Password123,Math,Student
Jamahl,Domonique,jdomonique0,jdomonique0@tech.edu,Password123,Computer Science,Student
Shelbie,Rendi,srendi0,srendi0@tech.edu,Password123,Engineering,Student
Judd,Antwaun,jantwaun0,jantwaun0@tech.edu,Password123,Nursing,Student
Joshu,Terrial,jterrial0,jterrial0@tech.edu,Password123,Computer Science,Student
Alainna,Johsua,ajohsua0,ajohsua0@tech.edu,Password123,Math,Student
Jerae,Clenton,jclenton0,jclenton0@tech.edu,Password123,Nursing,Student
Shundrika,Alfredo,salfredo0,salfredo0@tech.edu,Password123,Nursing,Student
Chey,Wagner,cwagner0,cwagner0@tech.edu,Password123,Nursing,Student
Kenard,Candice,kcandice0,kcandice0@tech.edu,Password123,Math,Student
Laportia,Jonmichael,ljonmichael0,ljonmichael0@tech.edu,Password123,English,Student
Gaylord,Bucky,gbucky0,gbucky0@tech.edu,Password123,English,Student
Ariana,Marietta,amarietta0,amarietta0@tech.edu,Password123,Engineering,Student
Candido,Rina,crina0,crina0@tech.edu,Password123,Computer Science,Student
Serria,Erendira,serendira0,serendira0@tech.edu,Password123,Computer Science,Student
Audra,Lyman,alyman0,alyman0@tech.edu,Password123,Engineering,Student
Ronita,Raisa,rraisa0,rraisa0@tech.edu,Password123,Engineering,Student
Joab,Iveliz,jiveliz0,jiveliz0@tech.edu,Password123,English,Student
Asha,Alvie,aalvie0,aalvie0@tech.edu,Password123,Engineering,Student
Lehi,Lizeth,llizeth0,llizeth0@tech.edu,Password123,Nursing,Student
Tristan,Justin,tjustin0,tjustin0@tech.edu,Password123,Engineering,Student
Sherard,Tarron,starron0,starron0@tech.edu,Password123,Computer Science,Student
Towanna,Jillayne,tjillayne0,tjillayne0@tech.edu,Password123,English,Student
Chanette,Ronney,cronney0,cronney0@tech.edu,Password123,Math,Student
Fannie,Kanetha,fkanetha0,fkanetha0@tech.edu,Password123,Math,Student
Jozette,Ailyn,jailyn0,jailyn0@tech.edu,Password123,Math,Student
Fernando,Shajuan,fshajuan0,fshajuan0@tech.edu,Password123,English,Student
Apostolos,Llewellyn,allewellyn0,allewellyn0@tech.edu,Password123,Computer Science,Student
Bucky,Ari,bari0,bari0@tech.edu,Password123,Engineering,Student
Amir,Lucius,alucius0,alucius0@tech.edu,Password123,Math,Student
Jovanda,Nyeshia,jnyeshia0,jnyeshia0@tech.edu,Password123,Computer Science,Student
Carsen,Nicasio,cnicasio0,cnicasio0@tech.edu,Password123,English,Student
Shavar,Marlo,smarlo0,smarlo0@tech.edu,Password123,Computer Science,Student
Natale,Shawntia,nshawntia0,nshawntia0@tech.edu,Password123,Nursing,Student
Nguyen,Roddrick,nroddrick0,nroddrick0@tech.edu,Password123,Math,Student
Delonte,Daiel,ddaiel0,ddaiel0@tech.edu,Password123,Engineering,Student
Arelys,Nashira,anashira0,anashira0@tech.edu,Password123,Engineering,Student
Maral,Ramy,mramy0,mramy0@tech.edu,Password123,English,Student
Maresa,Sabina,msabina0,msabina0@tech.edu,Password123,Computer Science,Student
Mai,Shonda,mshonda0,mshonda0@tech.edu,Password123,English,Student
Akina,Zana,azana0,azana0@tech.edu,Password123,Math,Student
Garold,Dexter,gdexter0,gdexter0@tech.edu,Password123,Math,Student
Sherylann,Vena,svena0,svena0@tech.edu,Password123,English,Student
Lanetta,Jsoeph,ljsoeph0,ljsoeph0@tech.edu,Password123,English,Student
Dora,Nesa,dnesa0,dnesa0@tech.edu,Password123,Engineering,Student
Fredo,Afton,fafton0,fafton0@tech.edu,Password123,Math,Student
Rindi,Apostolos,rapostolos0,rapostolos0@tech.edu,Password123,Math,Student
Wylene,Teisha,wteisha0,wteisha0@tech.edu,Password123,Engineering,Student
Camacho,Sha,csha0,csha0@tech.edu,Password123,Nursing,Student
Aaron,Gunnar,agunnar0,agunnar0@tech.edu,Password123,Engineering,Student
Lekeith,Choua,lchoua0,lchoua0@tech.edu,Password123,Nursing,Student
Hope,Joao,hjoao0,hjoao0@tech.edu,Password123,English,Student
Tamecka,Chett,tchett0,tchett0@tech.edu,Password123,Engineering,Student
Etosha,Sheilah,esheilah0,esheilah0@tech.edu,Password123,Engineering,Student
Kaneshia,Kilee,kkilee0,kkilee0@tech.edu,Password123,Engineering,Student
Dianne,Shaney,dshaney0,dshaney0@tech.edu,Password123,Math,Student
Jerianne,Jerrico,jjerrico0,jjerrico0@tech.edu,Password123,English,Student
Evertt,Everet,eeveret0,eeveret0@tech.edu,Password123,Nursing,Student
Ephraim,Sharie,esharie0,esharie0@tech.edu,Password123,English,Student
Nadira,Renald,nrenald0,nrenald0@tech.edu,Password123,Nursing,Student
Sharlotte,Rudolfo,srudolfo0,srudolfo0@tech.edu,Password123,Computer Science,Professor
Jinger,Janette,jjanette0,jjanette0@tech.edu,Password123,Engineering,Student
Talia,Anastacia,tanastacia0,tanastacia0@tech.edu,Password123,Computer Science,Student
Blayne,Lorn,blorn0,blorn0@tech.edu,Password123,Math,Student
Jessina,Earle,jearle0,jearle0@tech.edu,Password123,Math,Student
Roderic,Analiese,ranaliese0,ranaliese0@tech.edu,Password123,Nursing,Student
Ladarious,Miguel,lmiguel0,lmiguel0@tech.edu,Password123,Computer Science,Student
Linsay,Sharne,lsharne0,lsharne0@tech.edu,Password123,English,Student
Carina,Glynda,cglynda0,cglynda0@tech.edu,Password123,Math,Student
Maiko,Angelena,mangelena0,mangelena0@tech.edu,Password123,Nursing,Student
Betzaida,Genee,bgenee0,bgenee0@tech.edu,Password123,Nursing,Student
Nikia,Sandi,nsandi0,nsandi0@tech.edu,Password123,Engineering,Student
Lisaann,Hugues,lhugues0,lhugues0@tech.edu,Password123,Computer Science,Student
Teng,Lissette,tlissette0,tlissette0@tech.edu,Password123,Nursing,Student
Heraclio,Ninfa,hninfa0,hninfa0@tech.edu,Password123,English,Student
Phillipe,Brena,pbrena0,pbrena0@tech.edu,Password123,Math,Student
Timoteo,Araceli,taraceli0,taraceli0@tech.edu,Password123,Nursing,Student
Janeese,Jennifer,jjennifer0,jjennifer0@tech.edu,Password123,Math,Student
Naureen,Americo,namerico0,namerico0@tech.edu,Password123,Computer Science,Student
Karishma,Fallan,kfallan0,kfallan0@tech.edu,Password123,English,Student
Melessa,Coutney,mcoutney0,mcoutney0@tech.edu,Password123,Engineering,Student
Archana,Cortland,acortland0,acortland0@tech.edu,Password123,Math,Professor
Nazish,Shontai,nshontai0,nshontai0@tech.edu,Password123,Nursing,Professor
Mone,Denon,mdenon0,mdenon0@tech.edu,Password123,Computer Science,Student
Neeraj,Bowman,nbowman0,nbowman0@tech.edu,Password123,Nursing,Student
Coralyn,Kiley,ckiley0,ckiley0@tech.edu,Password123,Computer Science,Student
Thornton,Westen,twesten0,twesten0@tech.edu,Password123,Nursing,Student
Shann,Saint,ssaint0,ssaint0@tech.edu,Password123,Nursing,Student
Migel,Mayumi,mmayumi0,mmayumi0@tech.edu,Password123,English,Student
Berkley,Lynsi,blynsi0,blynsi0@tech.edu,Password123,Math,Student
Ellsworth,Clorinda,eclorinda0,eclorinda0@tech.edu,Password123,Computer Science,Student
Jacqueline,Brodi,jbrodi0,jbrodi0@tech.edu,Password123,Computer Science,Student
Quinzell,Kaleen,qkaleen0,qkaleen0@tech.edu,Password123,English,Student
Darrious,Emelie,demelie0,demelie0@tech.edu,Password123,Engineering,Student
Triva,Constantinos,tconstantinos0,tconstantinos0@tech.edu,Password123,Nursing,Student
Juante,Deshunda,jdeshunda0,jdeshunda0@tech.edu,Password123,Nursing,Student
Chukwuma,Demitrius,cdemitrius0,cdemitrius0@tech.edu,Password123,Engineering,Student
Tiare,Shantel,tshantel0,tshantel0@tech.edu,Password123,Math,Student
Danyella,Soctt,dsoctt0,dsoctt0@tech.edu,Password123,Math,Student
Jonna,Kristiane,jkristiane0,jkristiane0@tech.edu,Password123,Computer Science,Student
Dandre,Aislinn,daislinn0,daislinn0@tech.edu,Password123,English,Student
Austine,Eliz,aeliz0,aeliz0@tech.edu,Password123,Nursing,Student
Karel,Pete,kpete0,kpete0@tech.edu,Password123,Nursing,Student
Dezaree,Allison,dallison0,dallison0@tech.edu,Password123,Math,Student
Diane,Ronique,dronique0,dronique0@tech.edu,Password123,Engineering,Student
Betty,Chrles,bchrles0,bchrles0@tech.edu,Password123,English,Student
Lavender,Agapito,lagapito0,lagapito0@tech.edu,Password123,Math,Student
Kaylah,Shakiya,kshakiya0,kshakiya0@tech.edu,Password123,English,Student
Delina,Keath,dkeath0,dkeath0@tech.edu,Password123,English,Student
Olegario,Jameisha,ojameisha0,ojameisha0@tech.edu,Password123,Computer Science,Student
Clementine,Daid,cdaid0,cdaid0@tech.edu,Password123,Math,Student
Dawn,Kodie,dkodie0,dkodie0@tech.edu,Password123,Nursing,Student
Soua,Francoise,sfrancoise0,sfrancoise0@tech.edu,Password123,Math,Student
Lorielle,Lateria,llateria0,llateria0@tech.edu,Password123,English,Student
Xochilt,Bruce,xbruce0,xbruce0@tech.edu,Password123,Math,Student
Cali,Jennifr,cjennifr0,cjennifr0@tech.edu,Password123,Computer Science,Student
Krisanne,Tenecia,ktenecia0,ktenecia0@tech.edu,Password123,Math,Student
Maria,Kesa,mkesa0,mkesa0@tech.edu,Password123,Nursing,Student
Savoeun,Katrinia,skatrinia0,skatrinia0@tech.edu,Password123,Nursing,Student
Ramey,Audra,raudra0,raudra0@tech.edu,Password123,Computer Science,Student
Jerome,Jabe,jjabe0,jjabe0@tech.edu,Password123,Computer Science,Student
Theary,Madelaine,tmadelaine0,tmadelaine0@tech.edu,Password123,Computer Science,Student
Caitlan,Toby,ctoby0,ctoby0@tech.edu,Password123,English,Student
Dewanda,Estefani,destefani0,destefani0@tech.edu,Password123,Nursing,Professor
Kalem,Arnesha,karnesha0,karnesha0@tech.edu,Password123,Engineering,Student
Eira,Freddrick,efreddrick0,efreddrick0@tech.edu,Password123,Computer Science,Student
Meir,Elouise,melouise0,melouise0@tech.edu,Password123,Computer Science,Student
Genieve,Lenny,glenny0,glenny0@tech.edu,Password123,Nursing,Student
Samson,Chessica,schessica0,schessica0@tech.edu,Password123,English,Student
Faten,Taija,ftaija0,ftaija0@tech.edu,Password123,Computer Science,Student
Amonda,Obrien,aobrien0,aobrien0@tech.edu,Password123,Math,Student
Neilson,Marykatherine,nmarykatherine0,nmarykatherine0@tech.edu,Password123,Computer Science,Professor
Lenzy,Huan,lhuan0,lhuan0@tech.edu,Password123,English,Professor
Mischa,Zaccary,mzaccary0,mzaccary0@tech.edu,Password123,English,Student
Brondon,Ranaldo,branaldo0,branaldo0@tech.edu,Password123,Engineering,Student
Karrah,Ger,kger0,kger0@tech.edu,Password123,Computer Science,Student
Chenell,Dinero,cdinero0,cdinero0@tech.edu,Password123,English,Student
Shamire,Bennet,sbennet0,sbennet0@tech.edu,Password123,Nursing,Student
Vic,Mariam,vmariam0,vmariam0@tech.edu,Password123,Math,Student
Chelsea,Shawnda,cshawnda0,cshawnda0@tech.edu,Password123,Nursing,Student
Michael,Onisha,monisha0,monisha0@tech.edu,Password123,Math,Student
December,Symone,dsymone0,dsymone0@tech.edu,Password123,Nursing,Student
Marci,Samanatha,msamanatha0,msamanatha0@tech.edu,Password123,Math,Student
Luanna,Sharna,lsharna0,lsharna0@tech.edu,Password123,Math,Student
Nickalas,Jahida,njahida0,njahida0@tech.edu,Password123,Engineering,Student
Rebeka,Jewel,rjewel0,rjewel0@tech.edu,Password123,Math,Student
Ike,Mackenzi,imackenzi0,imackenzi0@tech.edu,Password123,English,Student
Sabrenia,Clay,sclay0,sclay0@tech.edu,Password123,Engineering,Student
Vivien,Lisette,vlisette0,vlisette0@tech.edu,Password123,Nursing,Student
Sopheap,Karalee,skaralee0,skaralee0@tech.edu,Password123,Engineering,Student
Shatia,Sendy,ssendy0,ssendy0@tech.edu,Password123,English,Student
Meggan,Kirstie,mkirstie0,mkirstie0@tech.edu,Password123,Engineering,Student
Kaleen,Brinton,kbrinton0,kbrinton0@tech.edu,Password123,Math,Professor
Rahsaan,Lateia,rlateia0,rlateia0@tech.edu,Password123,Nursing,Professor
Alisen,Anacani,aanacani0,aanacani0@tech.edu,Password123,English,Student
Refugio,Analise,ranalise0,ranalise0@tech.edu,Password123,English,Student
Pablo,Shaketa,pshaketa0,pshaketa0@tech.edu,Password123,Math,Student
Lamika,Lazarus,llazarus0,llazarus0@tech.edu,Password123,Math,Student
Ajani,Lucianna,alucianna0,alucianna0@tech.edu,Password123,Math,Student
Judea,Codi,jcodi0,jcodi0@tech.edu,Password123,English,Student
Kendi,Jerel,kjerel0,kjerel0@tech.edu,Password123,Math,Student
Naseem,Rosheena,nrosheena0,nrosheena0@tech.edu,Password123,Nursing,Student
Cadie,Tristyn,ctristyn0,ctristyn0@tech.edu,Password123,English,Student
Cadi,Viet,cviet0,cviet0@tech.edu,Password123,Math,Student
Chaddrick,Sherriann,csherriann0,csherriann0@tech.edu,Password123,Math,Student
Madonna,Rosanna,mrosanna0,mrosanna0@tech.edu,Password123,Computer Science,Student
Kristene,Karine,kkarine0,kkarine0@tech.edu,Password123,Math,Student
Chenika,Takisha,ctakisha0,ctakisha0@tech.edu,Password123,Computer Science,Student
Kadijah,Liani,kliani0,kliani0@tech.edu,Password123,English,Student
Jadon,Kateland,jkateland0,jkateland0@tech.edu,Password123,English,Student
Krystalynn,Bailie,kbailie0,kbailie0@tech.edu,Password123,Nursing,Student
Ranisha,Ansley,ransley0,ransley0@tech.edu,Password123,Engineering,Student
Mao,Marica,mmarica0,mmarica0@tech.edu,Password123,Math,Student
Nyssa,Adrain,nadrain0,nadrain0@tech.edu,Password123,Engineering,Student
Janely,Elchonon,jelchonon0,jelchonon0@tech.edu,Password123,English,Student
Raissa,Makesha,rmakesha0,rmakesha0@tech.edu,Password123,Engineering,Student
Katlynn,Anthoney,kanthoney0,kanthoney0@tech.edu,Password123,English,Student
Santo,Laurieann,slaurieann0,slaurieann0@tech.edu,Password123,Nursing,Student
Reilly,Constantine,rconstantine0,rconstantine0@tech.edu,Password123,Engineering,Student
Lasha,Jaccob,ljaccob0,ljaccob0@tech.edu,Password123,English,Student
Taniqua,Latoria,tlatoria0,tlatoria0@tech.edu,Password123,Engineering,Student
Emilyann,Shelton,eshelton0,eshelton0@tech.edu,Password123,English,Student
Leonor,Larsen,llarsen0,llarsen0@tech.edu,Password123,Nursing,Student
Lissete,Meggan,lmeggan0,lmeggan0@tech.edu,Password123,Nursing,Student
Barrie,Samatha,bsamatha0,bsamatha0@tech.edu,Password123,Engineering,Student
Sheryl,Vasilis,svasilis0,svasilis0@tech.edu,Password123,Computer Science,Student
Pedro,Brigit,pbrigit0,pbrigit0@tech.edu,Password123,Nursing,Student
Kalika,Kimberlee,kkimberlee0,kkimberlee0@tech.edu,Password123,Nursing,Student
Tawny,Montreal,tmontreal0,tmontreal0@tech.edu,Password123,Engineering,Student
Madaline,Italia,mitalia0,mitalia0@tech.edu,Password123,Math,Student
Betsy,Corian,bcorian0,bcorian0@tech.edu,Password123,Computer Science,Professor
Nada,Levern,nlevern0,nlevern0@tech.edu,Password123,English,Student
Onika,Dara,odara0,odara0@tech.edu,Password123,English,Student
Latressa,Shekira,lshekira0,lshekira0@tech.edu,Password123,Nursing,Student
Nickole,Rayshan,nrayshan0,nrayshan0@tech.edu,Password123,Computer Science,Student
Aladdin,Asiah,aasiah0,aasiah0@tech.edu,Password123,Computer Science,Student
Shalanda,Mahlon,smahlon0,smahlon0@tech.edu,Password123,English,Student
Terrina,Fauna,tfauna0,tfauna0@tech.edu,Password123,Engineering,Student
Lemario,Altariq,laltariq0,laltariq0@tech.edu,Password123,Nursing,Student
Kila,Erasmo,kerasmo0,kerasmo0@tech.edu,Password123,Math,Student
Chivonne,Keywanda,ckeywanda0,ckeywanda0@tech.edu,Password123,English,Student
Martrice,Arelys,marelys0,marelys0@tech.edu,Password123,English,Student
Les,Sarahelizabeth,lsarahelizabeth0,lsarahelizabeth0@tech.edu,Password123,Computer Science,Student
Terrace,Nadja,tnadja0,tnadja0@tech.edu,Password123,English,Student
Narita,Lynetta,nlynetta0,nlynetta0@tech.edu,Password123,Engineering,Student
Martize,Brea,mbrea0,mbrea0@tech.edu,Password123,Engineering,Student
Leonna,Brandis,lbrandis0,lbrandis0@tech.edu,Password123,Computer Science,Student
Karletta,Nidya,knidya0,knidya0@tech.edu,Password123,Math,Student
